PlayerName,birthDate,Age
Ramon Rodriguez,1998-10-30,27.43
Yariel Rodriguez,1997-03-10,29.07
Grant Rogers,2001-05-22,24.87
Anderdson Rojas,2004-03-08,22.08
Jose Rojas,1993-02-24,33.11
Josh Rojas,1994-06-30,31.76
Ryan Rolison,1997-07-11,28.73
Drew Rom,1999-12-15,26.31
Christian Romero,2002-12-11,23.32
Mikey Romero,2004-01-12,22.23
Drew Romo,2001-08-29,24.6
Ben Rortvedt,1997-09-25,28.53
Jerming Rosario,2002-05-08,23.91
Joe Ross,1993-05-21,32.87
Houston Roth,1998-03-09,28.07
Ethan Routzahn,1998-03-19,28.05
Braxton Roxby,1999-03-12,27.07
Chris Roycroft,1997-06-21,28.79
Michael Rucker,1994-04-27,31.94
Jackson Rutledge,1999-04-01,27.01
River Ryan,1998-08-17,27.63
Ryder Ryan,1995-05-11,30.9
Aaron Sabato,1999-06-04,26.84
Blake Sabol,1998-01-07,28.24
Cesar Salazar,1996-03-15,30.06
Eduardo Salazar,1998-05-05,27.92
Tyler Samaniego,1999-01-30,27.18
Bryan Sammons,1995-04-27,30.94
Aaron Sanchez,1992-07-01,33.76
Ali Sanchez,1997-01-20,29.2
Juan Sanchez,2000-11-12,25.39
Yolmer Sanchez,1992-06-29,33.77
Cam Sanders,1996-12-09,29.32
Will Sanders,2002-03-30,24.02
Nick Sandlin,1997-01-10,29.23
Alimber Santa,2003-05-03,22.92
Tyler Santana,1998-05-13,27.9
Gregory Santos,1999-08-28,26.6
Tayler Saucedo,1993-06-18,32.8
Josh Sborz,1993-12-17,32.3
Nick Schnell,2000-03-27,26.02
Tanner Schobel,2001-06-04,24.84
Jesse Scholtens,1994-04-06,32.0
RJ Schreck,2000-07-12,25.73
Max Schuemann,1997-06-11,28.82
Noah Schultz,2003-08-05,22.67
Paxton Schultz,1998-01-05,28.25
Aaron Schunk,1997-07-24,28.7
Tyler Schweitzer,2000-09-19,25.54
Christian Scott,1999-06-15,26.81
Tayler Scott,1992-06-01,33.84
JP Sears,1996-02-19,30.12
Matt Seelinger,1995-04-19,30.96
Reidis Sena,2001-04-07,24.99
Hayden Senger,1997-04-03,29.0
Nick Senzel,1995-06-29,30.77
Jared Serna,2002-06-01,23.84
Brian Serven,1995-05-05,30.92
Anderson Severino,1994-09-17,31.55
Carson Seymour,1998-12-16,27.3
Braden Shewmake,1997-11-19,28.38
TJ Shook,1998-05-29,27.85
Zack Short,1995-05-29,30.85
Chase Shugart,1996-10-24,29.45
Seth Shuman,1997-12-01,28.34
Jared Shuster,1998-08-03,27.67
Michael Siani,1999-07-16,26.72
T.J. Sikkema,1998-07-25,27.7
Ronny Simon,2000-04-17,25.97
William Simoneit,1996-10-14,29.47
Josh Simpson,1997-08-19,28.63
Lucas Sims,1994-05-10,31.9
Jack Sinclair,1999-05-03,26.92
Jose Siri,1995-07-22,30.7
Evan Sisk,1997-04-23,28.95
Carson Skipper,1999-08-12,26.65
Drew Smith,1993-09-24,32.53
Burch Smith,1990-04-12,35.98
Dylan Smith,2000-05-28,25.85
Hagen Smith,2003-08-19,22.63
Robby Snelling,2003-12-19,22.29
Collin Snider,1995-10-10,30.49
Nick Sogard,1997-09-09,28.57
Nick Solak,1995-01-11,31.23
Chase Solesky,1997-09-26,28.52
Drew Sommers,2000-08-14,25.64
Noah Song,1997-05-28,28.85
Sung-Mun Song,1996-08-29,29.6
Jared Southard,2000-10-04,25.5
Mitch Spence,1998-05-06,27.92
Garrett Stallings,1997-08-08,28.66
Michael Stefanic,1996-02-24,30.11
Josh Stephan,2001-11-01,24.42
Chad Stevens,1999-02-03,27.17
Cal Stevenson,1996-09-12,29.56
Kellen Strahm,1997-04-25,28.94
Hunter Stratton,1996-11-17,29.38
Hunter Strickland,1988-09-24,37.53
Kade Strowd,1997-09-17,28.55
Peter Strzelecki,1994-10-24,31.45
C.J. Stubbs,1996-11-12,29.39
Garrett Stubbs,1993-05-26,32.86
Joander Suarez,2000-02-27,26.1
Wander Suero,1991-09-15,34.55
Sean Sullivan,2002-07-22,23.7
Trey Supak,1996-05-31,29.85
Jack Suwinski,1998-07-29,27.69
Devin Sweet,1996-09-06,29.58
Drew Swift,1999-02-15,27.13
Misael Tamarez,2000-01-16,26.22
Carson Taylor,1999-06-02,26.84
Chris Taylor,1990-08-29,35.6
Samad Taylor,1998-07-11,27.73
Troy Taylor,2001-09-09,24.57
Rowdy Tellez,1995-03-16,31.06
Emiliano Teodo,2001-02-14,25.14
Matt Thaiss,1995-05-06,30.92
Colby Thomas,2001-01-26,25.19
Rhylan Thomas,2000-04-15,25.97
Keegan Thompson,1995-03-13,31.06
Mason Thompson,1998-02-20,28.12
Sterlin Thompson,2001-06-26,24.77
James Tibbs III,2002-10-01,23.51
Blade Tidwell,2001-06-08,24.82
Riley Tirotta,1998-08-21,27.62
Michael Toglia,1998-08-16,27.64
Milan Tolentino,2001-11-17,24.38
Payton Tolle,2002-11-01,23.43
Erik Tolman,1999-06-03,26.84
Jonah Tong,2003-06-19,22.8
Abraham Toro,1996-12-20,29.29
Bryan Torres,1997-07-02,28.76
Taylor Trammell,1997-09-13,28.56
Luca Tresh,2000-01-11,26.23
James Triantos,2003-01-29,23.18
Reed Trimble,2000-06-06,25.83
Lou Trivino,1991-10-01,34.51
Chadwick Tromp,1995-03-21,31.04
Tommy Troy,2002-01-17,24.21
Yunior Tur,1999-08-09,26.66
Tyler Uberstine,1999-06-01,26.84
Miguel Ullola,2002-06-19,23.79
Riley Unroe,1995-08-03,30.67
Francisco Urbaez,1997-10-13,28.48
Walbert Urena,2004-01-25,22.19
Enmanuel Valdez,1998-12-28,27.27
Esmerlyn Valdez,2004-01-27,22.19
Eduardo Valencia,2000-01-25,26.19
Brandon Valenzuela,2000-10-02,25.51
George Valera,2000-11-13,25.39
Ricky Vanasco,1998-10-13,27.48
CJ Van Eyk,1998-09-15,27.55
Logan VanWey,1999-02-14,27.14
Willy Vasquez,2001-09-06,24.58
Zac Veen,2001-12-12,24.31
Onix Vega,1998-09-07,27.58
Vince Velasquez,1992-06-07,33.83
Nelson Velazquez,1998-12-26,27.27
Anthony Vilar,1999-04-01,27.01
Eli Villalobos,1997-06-26,28.77
Austin Voth,1992-06-26,33.77
A.J. Vukovich,2001-07-20,24.71
Luke Waddell,1998-07-13,27.73
LaMonte Wade Jr.,1994-01-01,32.26
Tyler Wade,1994-11-23,31.36
Eric Wagaman,1997-08-14,28.64
Jacob Waguespack,1993-11-05,32.41
Cole Waites,1998-06-10,27.82
Matt Waldron,1996-09-26,29.52
Ryan Waldschmidt,2002-10-07,23.49
Josh Walker,1994-12-01,31.34
Jake Walkinshaw,1996-07-07,29.74
Andrew Walling,1999-10-29,26.43
Jean Walters,2001-08-13,24.64
Donovan Walton,1994-05-25,31.86
Andrew Wantz,1995-10-13,30.48
Braiden Ward,1999-01-18,27.21
Ryan Ward,1998-02-23,28.11
Austin Warren,1996-02-05,30.16
Drew Waters,1998-12-30,27.26
Danny Watson,2000-10-06,25.49
Kahlil Watson,2003-04-16,22.97
Beck Way,1999-08-06,26.66
Jacob Webb,1999-03-23,27.04
Ryan Webb,1999-04-19,26.96
Jordan Weems,1992-11-07,33.41
Patrick Weigel,1994-07-08,31.74
Levi Wells,2001-09-21,24.54
Davis Wendzel,1997-05-23,28.87
Jack Wenninger,2002-03-14,24.06
Cameron Weston,2000-08-27,25.6
Zack Wheeler,1990-05-30,35.85
Carson Whisenhunt,2000-10-20,25.46
Shay Whitcomb,1998-09-28,27.52
Brendan White,1998-11-18,27.38
Josh White,2000-11-24,25.36
Kodi Whitley,1995-02-21,31.12
Jaxon Wiggins,2001-10-03,24.5
Brock Wilken,2002-06-17,23.8
Creed Willems,2003-06-04,22.84
Alika Williams,1999-03-12,27.07
Jett Williams,2003-11-03,22.42
Luke Williams,1996-08-09,29.65
Amos Willingham,1998-08-21,27.62
Bryse Wilson,1997-12-20,28.29
Peyton Wilson,1999-11-01,26.43
Weston Wilson,1994-09-11,31.56
Will Wilson,1998-07-21,27.71
Jack Winkler,1998-11-04,27.42
Patrick Wisdom,1991-08-27,34.61
Brett Wisely,1999-05-08,26.91
Tanner Witt,2002-07-11,23.73
Jackson Wolf,1999-04-22,26.95
Gage Workman,1999-10-24,26.45
Logan Workman,1998-12-06,27.33
Eric Yang,1998-03-26,28.03
Justin Yeager,1998-01-20,28.21
Eddy Yean,2001-06-25,24.78
Andy Yerzy,1998-07-05,27.75
Huascar Ynoa,1998-05-28,27.85
Brandon Young,1998-08-19,27.63
Freddy Zamora,1998-11-01,27.43
Rob Zastryzny,1992-03-26,34.03
Aaron Zavala,2000-06-24,25.78
Seby Zavala,1993-08-28,32.6
Chen Zhong-Ao Zhuang,2000-08-25,25.61
Bruce Zimmermann,1995-02-09,31.15
Tyler Zuber,1995-06-16,30.8
Yosver Zulueta,1998-01-23,28.2
Nick Zwack,1998-08-01,27.68
Kevin Abel,1999-02-19,27.12
Blane Abeyta,1998-09-04,27.58
Alaska Abney,2000-05-05,25.92
Francisco Acuna,2000-01-12,26.23
Jose Acuna,2002-10-20,23.46
Blake Adams,2000-09-11,25.56
Cooper Adams,2000-06-14,25.81
Jordyn Adams,1999-10-18,26.46
Maui Ahuna,2002-03-11,24.07
Alexander Alberto,2001-11-02,24.42
Marvin Alcantara,2004-11-02,21.42
Omar Alfonzo,2003-08-03,22.67
Peyton Alford,1997-08-15,28.64
Jay Allen II,2002-11-22,23.37
Nick Altermatt,1999-09-28,26.52
Edgar Alvarez,2001-02-19,25.12
Alex Amalfi,2001-02-18,25.13
Billy Amick,2002-11-04,23.42
Casey Anderson,2000-08-31,25.59
Ethan Anderson,2003-09-21,22.54
Kade Anderson,2004-07-06,21.75
Roman Angelo,2000-05-17,25.88
Aaron Antonini,1998-07-27,27.69
Wuilfredo Antunez,2002-05-16,23.89
Patricio Aquino,2003-05-01,22.93
Franklin Arias,2005-11-19,20.38
Michael Arias,2001-11-15,24.39
Ariel Armas,2002-11-29,23.35
Sam Armstrong,2000-09-26,25.52
Jamie Arnold,2004-03-21,22.04
Felix Arronde,2003-04-25,22.95
Michael Arroyo,2004-11-03,21.42
J.T. Arruda,1997-10-20,28.46
Aeverson Arteaga,2003-03-16,23.06
Micah Ashman,2002-08-22,23.62
Kelly Austin,2000-12-17,25.3
Trevor Austin,2001-10-03,24.5
Corey Avant,2001-11-06,24.41
Jace Avina,2003-06-06,22.83
Luis Baez,2004-01-11,22.23
Nate Baez,2001-05-17,24.88
Alec Baker,1999-12-04,26.34
Andrew Baker,2000-03-24,26.03
Leo Balcazar,2004-06-17,21.8
Scott Bandura,2001-08-02,24.67
Zane Barnhart,2002-05-30,23.85
Diego Barrera,2000-05-05,25.92
Gregory Barrios,2004-04-08,21.99
Cameron Barstad,2000-11-29,25.35
Garrett Baumann,2004-08-15,21.64
Jackson Baumeister,2002-07-10,23.74
Drew Beam,2003-02-14,23.14
Jace Beck,2000-06-14,25.81
Colton Becker,2001-04-26,24.94
Charlie Beilenson,1999-12-10,26.32
Nigel Belgrave,2002-05-12,23.9
Nolan Beltran,2005-01-24,21.19
Frederick Bencosme,2002-12-25,23.28
Spencer Bengard,2002-04-19,23.96
Juan Benjamin,2003-04-25,22.95
Derek Berg,2001-09-21,24.54
Austin Bergner,1997-05-01,28.93
Jay Beshears,2002-05-06,23.92
Bryant Betancourt,2003-10-12,22.48
Gabe Bierman,1999-09-03,26.59
Justice Bigbie,1999-01-24,27.2
Alex Binelas,2000-05-26,25.86
Ryan Birchard,2003-07-12,22.73
Miguel Bleis,2004-03-01,22.09
Jack Blomgren,1998-09-27,27.52
Jake Bockenstedt,1999-11-15,26.39
Mike Boeve,2002-05-05,23.92
Jace Bohrofen,2001-10-19,24.46
Branden Boissiere,2000-03-23,26.03
Wilian Bormie,2001-04-07,24.99
Ryan Bourassa,1999-12-18,26.3
Darren Bowen,2001-02-03,25.17
Emaarion Boyd,2003-08-22,22.62
Tyler Bradt,2001-02-11,25.14
Kade Bragg,2001-07-02,24.76
Jonathan Brand,2000-02-20,26.12
Will Brian,1999-04-25,26.95
Trace Bright,2000-10-26,25.44
Kyle Brnovich,1997-10-20,28.46
Jesus Broca,2003-10-16,22.47
Julian Brock,2001-06-03,24.84
Archer Brookman,1999-01-08,27.24
Jake Brooks,2001-07-08,24.74
Canyon Brown,2003-08-07,22.66
Dasan Brown,2001-09-25,24.53
Eric Brown Jr.,2000-12-19,25.29
Sam Brown,2001-09-11,24.56
Maddux Bruns,2002-06-20,23.79
Zach Bryant,1998-06-05,27.83
Brayan Buelvas,2002-06-08,23.82
Jorge Burgos,2002-08-06,23.66
Blake Burke,2003-06-11,22.82
Mason Burns,2002-04-04,24.0
Will Bush,2004-03-04,22.09
Brandon Butterworth,2002-08-29,23.6
Jeisson Cabrera,1998-09-05,27.58
Jose Cabrera,2002-05-30,23.85
David Calabrese,2002-09-26,23.52
Caleb Cali,2000-08-20,25.62
Brett Callahan,2001-11-02,24.42
Joe Campagna,1996-11-26,29.36
Dylan Campbell,2002-07-02,23.76
Gustavo Campero,1997-09-20,28.54
Ryan Campos,2002-10-16,23.47
Will Cannon,2003-07-08,22.74
Conner Capel,1997-05-19,28.88
Max Carlson,2001-09-13,24.56
Dylan Carmouche,2001-08-22,24.62
Kyle Carr,2002-05-06,23.92
Irv Carter,2002-10-08,23.49
Eiberson Castellano,2001-05-09,24.91
Jesus Castillo,2003-07-12,22.73
Manuel Castro,2002-05-11,23.9
Ricky Castro,1999-08-05,26.67
A.J. Causey,2002-11-19,23.38
Drew Cavanaugh,2002-01-27,24.19
Zachary Cawyer,2002-12-02,23.34
Sabin Ceballos,2002-08-17,23.63
Brendan Cellucci,1998-06-30,27.76
Christian Chamberlain,1999-07-20,26.71
Chase Chaney,1999-12-16,26.3
Emmanuel Chapman,1998-09-23,27.53
Wandisson Charles,1996-09-07,29.57
Connor Charping,1999-04-12,26.98
Frainyer Chavez,1999-05-24,26.87
Po-Yu Chen,2001-10-02,24.51
Amilcar Chirinos,2001-11-07,24.41
Jack Choate,2001-04-18,24.96
Jurrangelo Cijntje,2003-05-31,22.85
Alex Clemmey,2005-07-18,20.71
Tyler Cleveland,1999-09-09,26.57
Patrick Clohisy,2001-12-06,24.33
Owen Cobb,2001-06-24,24.78
Cutter Coffey,2004-05-21,21.87
Isaac Coffey,2000-06-21,25.79
Javen Coleman,2001-12-03,24.34
Harold Coll,2001-07-31,24.68
Dennis Colleran Jr.,2003-08-20,22.63
Cam Collier,2004-11-20,21.37
Drew Compton,2001-03-25,25.03
Bryce Conley,1994-08-22,31.62
Cal Conley,1999-07-17,26.72
Cole Conn,2001-07-11,24.73
Caden Connor,2000-08-02,25.67
Gavin Conticello,2003-06-11,22.82
Patrick Copen,2002-02-15,24.13
Jorge Corona,2000-09-12,25.56
Kenedy Corona,2000-03-21,26.04
Andrew Cossetti,2000-01-31,26.18
Ryan Costeiu,2000-11-28,25.35
Irving Cota,2004-02-14,22.14
Matt Coutney,1999-07-08,26.74
Jonah Cox,2001-08-04,24.67
Jacob Cozart,2003-01-09,23.24
Hunter Cranton,2000-10-24,25.45
Dayson Croes,1999-10-08,26.49
Wyatt Crowell,2001-10-13,24.48
Stiven Cruz,2001-11-14,24.39
C.J. Culpepper,2001-11-02,24.42
Ty Cummings,2001-11-01,24.42
Khristian Curtis,2002-05-09,23.91
J.J. D'Orazio,2001-12-28,24.27
R.J. Dabovich,1999-01-11,27.23
Jack Dallas,1998-12-18,27.3
Micah Dallas,2000-04-14,25.97
Andrew Dalquist,2000-11-13,25.39
Jack Dashwood,1997-11-17,28.38
David Davalillo,2002-09-21,23.54
Ramsey David,2001-02-08,25.15
Bo Davidson,2002-07-05,23.75
Nick Davila,1998-11-21,27.37
Braden Davis,2003-04-09,22.99
Chase Davis,2001-12-05,24.33
Cam Day,2002-07-25,23.7
Nick Dean,2000-12-26,25.27
Kyle DeBarge,2003-07-15,22.72
Jaron DeBerry,2002-08-28,23.6
Bailey Dees,1999-02-05,27.16
Felipe De La Cruz,2001-05-26,24.86
Adrian De Leon,2004-02-09,22.15
Luis De Leon,2003-04-14,22.98
Keiner Delgado,2004-01-05,22.25
Anderson De Los Santos,2004-01-11,22.23
Enyel De Los Santos,1995-12-25,30.28
Dylan DeLucia,2000-08-01,25.68
Carson DeMartini,2002-12-27,23.27
Cade Denton,2001-12-28,24.27
Josue De Paula,2005-05-24,20.87
Jose Devers,2003-05-17,22.89
Leo De Vries,2006-10-11,19.48
Indigo Diaz,1998-10-14,27.47
Jhon Diaz,2002-10-01,23.51
Dustin Dickerson,2001-03-28,25.02
Jared Dickey,2002-03-01,24.1
Jordan Dissin,2002-05-29,23.85
Trey Dombroski,2001-03-13,25.06
Cade Doughty,2001-03-26,25.03
Drew Dowd,2002-01-03,24.25
Liam Doyle,2004-06-03,21.84
Dylan Dreiling,2003-04-17,22.97
Jay Driver,2002-02-25,24.11
Titus Dumitru,2003-05-17,22.89
Elijah Dunham,1998-05-29,27.85
Hayden Durke,2002-05-01,23.93
Daniel Eagen,2002-11-23,23.36
Konner Eaton,2002-11-30,23.35
Derrick Edington,1999-07-22,26.7
Garrett Edwards,2002-01-03,24.25
Drew Ehrhard,1999-01-16,27.22
Magnus Ellerts,2001-03-16,25.05
Clark Elliott,2000-09-29,25.51
Stevie Emanuels,1999-01-30,27.18
Yamal Encarnacion,2003-09-08,22.57
Tristin English,1997-05-14,28.89
Blayne Enlow,1999-03-21,27.04
Aroon Escobar,2005-01-01,21.26
Carlos Espinosa,2001-08-08,24.66
Lizandro Espinoza,2002-11-20,23.37
Aron Estrada,2005-01-13,21.22
A.J. Ewing,2004-08-10,21.65
E.J. Exposito,2001-05-04,24.92
Albert Fabian,2001-12-21,24.29
Trey Faltine,2001-01-08,25.24
Greg Farone,2002-05-03,23.92
Thomas Farr,1999-04-29,26.93
Caden Favors,2001-08-29,24.6
Cade Feeney,2001-07-31,24.68
Max Ferguson,1999-08-23,26.62
Yeiner Fernandez,2002-09-19,23.54
Pascanel Ferreras,2001-11-25,24.36
Colin Fields,2000-03-18,26.05
Hunter Fitz-Gerald,2000-12-09,25.32
Tucker Flint,2001-04-05,25.0
Anthony Flores,2004-10-21,21.45
Taylor Floyd,1997-12-08,28.32
Michael Flynn,1996-08-07,29.66
Adam Fogel,1998-09-02,27.59
Garret Forrester,2001-11-21,24.37
Michael Forret,2004-04-06,22.0
Luke Fox,2002-01-04,24.25
Junior Franco,2002-09-13,23.56
Sadrac Franco,2000-06-04,25.83
Caleb Freeman,1998-02-23,28.11
Dariel Fregio,2000-05-05,25.92
Ryan Galanie,2000-06-20,25.79
Pat Gallagher,2000-06-30,25.76
Ryan Gallagher,2003-01-19,23.21
Richard Gallardo,2001-09-06,24.58
Davian Garcia,2003-10-10,22.49
John Garcia,2000-09-25,25.52
Leonard Garcia,2003-08-11,22.65
Nick Garcia,1999-04-20,26.96
Roel Garcia III,1998-11-21,27.37
Sam Garcia,2002-05-22,23.87
Saul Garcia,2003-06-11,22.82
Nate Garkow,1997-09-04,28.58
Tristan Garnett,1998-03-29,28.02
Andy Garriola,1999-12-15,26.31
Sandy Gaston,2001-12-16,24.3
Evan Gates,1998-01-13,28.22
Jon Jon Gazdar,2002-03-03,24.09
Jordan Geber,1999-07-31,26.68
Jake Gelof,2002-02-25,24.11
Angel Genao,2004-05-19,21.88
Kendall George,2004-10-29,21.43
Geoffrey Gilbert,2001-05-03,24.92
Brett Gillis,1999-09-29,26.52
Tanner Gillis,2000-08-10,25.65
Brendan Girton,2001-11-10,24.4
DJ Gladney,2001-07-14,24.73
Ben Gobbel,1999-11-02,26.42
Ruddy Gomez,2000-01-09,26.24
Sebastian Gongora,2001-09-01,24.59
James Gonzalez,2000-09-15,25.55
Jose Gonzalez,2001-08-05,24.67
Juan Gonzalez,2001-02-20,25.12
Nick Goodwin,2001-09-06,24.58
Austin Gordon,2003-06-14,22.81
Lucas Gordon,2002-02-13,24.14
JJ Goss,2000-12-25,25.28
Duce Gourson,2002-09-20,23.54
Kevin Gowdy,1997-11-16,28.38
Riley Gowens,1999-10-18,26.46
Peyton Graham,2001-01-26,25.19
Payton Green,2003-01-17,23.21
Jordan Groshans,1999-11-10,26.4
Josh Grosz,2002-09-05,23.58
Garret Guillemette,2001-09-04,24.58
Harry Gustin,2002-05-06,23.92
Luis Gutierrez,2003-07-31,22.68
Roque Gutierrez,2002-09-07,23.58
Carlos Guzman,1998-05-16,27.89
Drue Hackenberg,2002-04-01,24.01
Elijah Hainline,2002-12-20,23.29
Patrick Halligan,1999-10-04,26.5
Colby Halter,2001-08-24,24.61
Tyson Hardin,2001-11-19,24.38
Houston Harding,1998-05-22,27.87
Tyler Hardman,1999-01-27,27.19
Theo Hardy,2001-11-27,24.35
Daniel Harper,1999-06-01,26.84
Calvin Harris,2001-11-15,24.39
Dakota Harris,2002-02-19,24.12
Jay Harry,2002-07-18,23.72
Josh Hartle,2003-03-24,23.03
Ryan Hawks,2000-11-24,25.36
Hunter Hayes,2000-08-05,25.66
Jagger Haynes,2002-09-20,23.54
Ethan Hearn,2000-08-31,25.59
Jacob Heatherly,1998-05-20,27.88
Dylan Hecht,1994-03-29,32.02
Austin Hendrick,2001-06-15,24.8
Jean Henriquez,1993-07-23,32.7
Christian Herberholz,2000-10-05,25.5
Raylin Heredia,2003-11-10,22.4
Cristian Hernandez,2003-12-13,22.31
Diomedes Hernandez,2005-02-06,21.16
Herick Hernandez,2003-08-11,22.65
Omar Hernandez,2001-12-10,24.32
Griffin Herring,2003-05-07,22.91
Ben Hess,2002-09-03,23.59
Kehden Hettiger,2004-05-25,21.86
James Hicks,2001-05-09,24.91
Alejandro Hidalgo,2003-05-22,22.87
GJ Hill,2000-09-30,25.51
Turner Hill,1999-04-04,27.0
P.J. Hilson,2000-08-25,25.61
Carson Hobbs,2002-02-27,24.1
Douglas Hodo III,2000-09-25,25.52
John Holobetz,2002-07-31,23.68
Travis Honeyman,2001-10-02,24.51
Josh Hood,2000-07-21,25.71
Zyhir Hope,2005-01-19,21.21
Jackson Hornung,2001-02-06,25.16
Mac Horvath,2001-07-22,24.7
Maddux Houghton,1999-02-23,27.11
Ed Howard,2002-01-28,24.18
Chance Huff,2000-04-19,25.96
Kenya Huggins,2002-12-12,23.31
Sean Hunley,1999-07-05,26.75
Cade Hunter,2000-11-29,25.35
Joel Hurtado,2001-02-06,25.16
Jacob Hurtubise,1997-12-11,28.31
Joel Ibarra,2002-07-10,23.74
Ruben Ibarra,1999-04-26,26.94
Ryan Ignoffo,2000-07-21,25.71
Jairo Iriarte,2001-12-15,24.3
Ashton Izzi,2003-11-18,22.38
Matt Jachec,2001-07-25,24.7
Ryan Jackson,2001-11-27,24.35
Kamren James,2000-05-25,25.86
Walker Janek,2002-09-24,23.53
Mike Jarvis,1998-05-12,27.9
Jack Jasiak,2001-03-06,25.08
Dylan Jasso,2002-11-30,23.35
Mitch Jebb,2002-05-13,23.9
Andrew Jenkins,2000-11-03,25.42
Chase Jessee,1999-06-08,26.83
Jared Johnson,2001-03-15,25.06
Justin Johnson,2000-04-03,26.0
Marcus Johnson,2000-12-11,25.31
Reid Johnston,1999-04-07,27.0
Druw Jones,2003-11-28,22.35
Brendan Jones,2002-04-24,23.95
Brock Jones,2001-03-28,25.02
Keith Jones II,2002-04-29,23.93
Stephen Jones,1997-07-30,28.68
Carlos Jorge,2003-09-22,22.54
Dyan Jorge,2003-03-18,23.05
Tavian Josenberger,2001-10-23,24.45
Elison Joseph,2001-01-24,25.19
Jorge Juan,1999-03-06,27.08
Victor Juarez,2003-06-19,22.8
Braedon Karpathios,2003-06-19,22.8
Chris Kean,2002-06-12,23.81
Matt Keating,2000-12-07,25.33
Damon Keith,2000-05-28,25.85
Jackson Kelley,2000-04-26,25.94
Jared Kelley,2001-10-03,24.5
Sean Keys,2003-05-26,22.86
Kevin Kilpatrick Jr.,2000-11-25,25.36
Chuck King,1998-01-06,28.24
Justin King,1997-12-19,28.29
Seaver King,2003-04-25,22.95
Jimmy Kingsbury,1999-02-13,27.14
Cooper Kinney,2003-01-27,23.19
Grant Kipp,1999-11-11,26.4
Christian Knapczyk,2001-12-16,24.3
Jake Knapp,2000-08-30,25.6
Bill Knight,1999-08-24,26.61
Ian Koenig,2001-04-09,24.99
Tanner Kohlhepp,1999-05-27,26.86
Zach Kokoska,1998-10-20,27.46
Sam Kulasingam,2001-07-10,24.74
Joshua Kuroda-Grauer,2003-01-31,23.18
Joe Lampe,2000-12-05,25.33
Jackson Lancaster,1999-03-22,27.04
Ty Langenberg,2001-12-08,24.32
Tyler LaPorte,1997-04-09,28.99
Janser Lara,1996-08-10,29.65
Jhancarlos Lara,2003-01-15,23.22
Conor Larkin,1999-03-17,27.05
Ryan Lasko,2002-06-24,23.78
Johnathan Lavallee,1999-08-11,26.65
Cortland Lawson,2000-05-12,25.9
Cameron Leary,2001-11-13,24.39
Bennett Lee,2002-04-26,23.94
Marcus Lee Sang,2001-01-02,25.25
Bishop Letson,2004-09-15,21.55
Zach Levenson,2002-03-06,24.08
Adam Leverett,1998-09-19,27.54
Dillon Lewis,2003-06-12,22.81
Ian Lewis Jr.,2003-02-04,23.16
Ahbram Liendo,2004-02-01,22.17
Chen-Wei Lin,2001-11-22,24.37
Wei-En Lin,2005-11-04,20.42
Carlos Linarez,2001-10-24,24.45
Valentin Linarez,2000-02-14,26.14
Guy Lipscomb,2001-03-11,25.07
Victor Lizarraga,2003-11-30,22.35
Ryan Lobus,2000-09-08,25.57
Griffin Lockwood-Powell,1998-02-23,28.11
Joshua Loeschorn,2000-03-10,26.07
Gavin Logan,2000-01-14,26.22
Caleb Lomavita,2002-11-18,23.38
George Lombard Jr.,2005-06-02,20.84
Ryan Long,1999-10-19,26.46
Aidan Longwell,2001-10-17,24.47
Eric Loomis,2002-03-27,24.02
Leandro Lopez,2002-06-17,23.8
Nick Lorusso,2000-09-11,25.56
Austin Love,1999-01-26,27.19
Marco Luciano,2001-09-10,24.57
Kyle Luckham,1999-10-01,26.51
Jansel Luis,2005-03-06,21.08
Jared Lyons,2000-09-27,25.52
Irvin Machuca,2000-05-01,25.93
Dylan MacLean,2002-07-12,23.73
Jesus Made,2007-05-08,18.91
Kevin Made,2002-09-10,23.57
Alex Madera,2000-10-27,25.44
Bryan Magdaleno,2001-02-22,25.11
Jack Mahoney,2001-08-13,24.64
Joey Mancini,1999-11-14,26.39
Mark Manfredi Sr.,2000-01-28,26.18
Luke Mann,2000-04-13,25.98
Jorge Marcheco,2002-08-06,23.66
Garrett Martin,2000-06-28,25.77
Logan Martin,2001-07-17,24.72
Rudy Martin Jr.,1996-01-31,30.18
Orlando Martinez,1998-02-17,28.13
Raudelis Martinez,2002-05-30,23.85
Luis Martinez-Gomez,2003-05-27,22.86
Bryce Mayer,2002-02-11,24.15
David McCabe,2000-03-25,26.03
Tommy McCollum,1999-06-08,26.83
Mac McCroskey,1999-12-31,26.26
Connor McCullough,1999-10-05,26.5
LJ McDonough,2000-04-02,26.01
Tyler McDonough,1999-04-02,27.01
Chris McElvain,2000-09-15,25.55
Alex McFarlane,2001-06-09,24.82
Haydn McGeary,1999-10-09,26.49
Shane McGuire,1999-04-12,26.98
Sean McLain,2001-03-22,25.04
Ben McLaughlin,2002-05-30,23.85
Mark McLaughlin,2001-02-14,25.14
Trey McLoughlin,1999-06-11,26.82
Brandon McPherson,2000-03-23,26.03
Joshua Mears,2001-02-21,25.12
Erick Mejia,1994-11-09,31.4
Hendry Mendez,2003-11-07,22.41
Miguel Mendez,2002-07-01,23.76
Noah Mendlinger,2000-08-09,25.65
Joseph Menefee,1999-10-06,26.5
Antonio Menendez,1999-03-11,27.07
Manuel Mercedes,2002-09-21,23.54
